t`s	v(dout)`V	v(rst)`V
3.57031e-05	1.8e-14	0
3.57813e-05	1.8e-14	0
3.58594e-05	1.8e-14	0
3.59375e-05	1.8	0
3.60156e-05	1.8e-14	0
3.60937e-05	1.8e-14	0
3.61719e-05	1.8e-14	0
3.625e-05	1.8	0
3.63281e-05	1.8e-14	0
3.64063e-05	1.8e-14	0
3.64844e-05	1.8	0
3.65625e-05	1.8e-14	0
3.66406e-05	1.8e-14	0
3.67188e-05	1.8e-14	0
3.67969e-05	1.8	0
3.6875e-05	1.8e-14	0
3.69531e-05	1.8	0
3.70313e-05	1.8e-14	0
3.71094e-05	1.8e-14	0
3.71875e-05	1.8e-14	0
3.72656e-05	1.8e-14	0
3.73438e-05	1.8	0
3.74219e-05	1.8e-14	0
3.75e-05	1.8	0
3.75781e-05	1.8e-14	0
3.76563e-05	1.8e-14	0
3.77344e-05	1.8e-14	0
3.78125e-05	1.8	0
3.78906e-05	1.8e-14	0
3.79688e-05	1.8e-14	0
3.80469e-05	1.8	0
3.8125e-05	1.8e-14	0
3.82031e-05	1.8e-14	0
3.82813e-05	1.8	0
3.83594e-05	1.8e-14	0
3.84375e-05	1.8e-14	0
3.85156e-05	1.8	0
3.85938e-05	1.8e-14	0
3.86719e-05	1.8e-14	0
3.875e-05	1.8	0
3.88281e-05	1.8e-14	0
3.89063e-05	1.8	0
3.89844e-05	1.8e-14	0
3.90625e-05	1.8e-14	0
3.91406e-05	1.8e-14	0
3.92188e-05	1.8	0
3.92969e-05	1.8e-14	0
3.9375e-05	1.8e-14	0
3.94531e-05	1.8	0
3.95313e-05	1.8	0
3.96094e-05	1.8e-14	0
3.96875e-05	1.8e-14	0
3.97656e-05	1.8e-14	0
3.98438e-05	1.8e-14	0
3.99219e-05	1.8	0
4e-05	1.8	0
4.00781e-05	1.8e-14	1.8
4.01563e-05	1.8	0
4.02344e-05	1.8e-14	0
4.03125e-05	1.8	0
4.03906e-05	1.8e-14	0
4.04688e-05	1.8e-14	0
4.05469e-05	1.8	0
4.0625e-05	1.8e-14	0
4.07031e-05	1.8e-14	0
4.07813e-05	1.8	0
4.08594e-05	1.8	0
4.09375e-05	1.8e-14	0
4.10156e-05	1.8e-14	0
4.10938e-05	1.8e-14	0
4.11719e-05	1.8	0
4.125e-05	1.8	0
4.13281e-05	1.8e-14	0
4.14063e-05	1.8e-14	0
4.14844e-05	1.8e-14	0
4.15625e-05	1.8	0
4.16406e-05	1.8	0
4.17188e-05	1.8e-14	0
4.17969e-05	1.8e-14	0
4.1875e-05	1.8	0
4.19531e-05	1.8	0
4.20313e-05	1.8e-14	0
4.21094e-05	1.8e-14	0
4.21875e-05	1.8e-14	0
4.22656e-05	1.8	0
4.23438e-05	1.8	0
4.24219e-05	1.8e-14	0
4.25e-05	1.8	0
4.25781e-05	1.8e-14	0
4.26563e-05	1.8e-14	0
4.27344e-05	1.8	0
4.28125e-05	1.8	0
4.28906e-05	1.8e-14	0
4.29688e-05	1.8e-14	0
4.30469e-05	1.8	0
4.3125e-05	1.8e-14	0
4.32031e-05	1.8	0
4.32813e-05	1.8e-14	0
4.33594e-05	1.8	0
4.34375e-05	1.8e-14	0
4.35156e-05	1.8	0
4.35938e-05	1.8	0
4.36719e-05	1.8e-14	0
4.375e-05	1.8e-14	0
4.38281e-05	1.8	0
4.39063e-05	1.8e-14	0
4.39844e-05	1.8	0
4.40625e-05	1.8e-14	0
4.41406e-05	1.8	0
4.42188e-05	1.8	0
4.42969e-05	1.8e-14	0
4.4375e-05	1.8e-14	0
4.44531e-05	1.8	0
4.45313e-05	1.8	0
4.46094e-05	1.8e-14	0
4.46875e-05	1.8	0
4.47656e-05	1.8e-14	0
4.48438e-05	1.8	0
4.49219e-05	1.8e-14	0
4.5e-05	1.8	0
4.50781e-05	1.8e-14	0
4.51563e-05	1.8	0
4.52344e-05	1.8	0
4.53125e-05	1.8e-14	0
4.53906e-05	1.8	0
4.54688e-05	1.8e-14	0
4.55469e-05	1.8	0
4.5625e-05	1.8e-14	0
4.57031e-05	1.8	0
4.57813e-05	1.8	0
4.58594e-05	1.8e-14	0
4.59375e-05	1.8	0
4.60156e-05	1.8e-14	0
4.60938e-05	1.8	0
4.61719e-05	1.8e-14	0
4.625e-05	1.8	0
4.63281e-05	1.8	0
4.64063e-05	1.8	0
4.64844e-05	1.8e-14	0
4.65625e-05	1.8e-14	0
4.66406e-05	1.8	0
4.67188e-05	1.8	0
4.67969e-05	1.8e-14	0
4.6875e-05	1.8	0
4.69531e-05	1.8	0
4.70313e-05	1.8e-14	0
4.71094e-05	1.8	0
4.71875e-05	1.8	0
4.72656e-05	1.8e-14	0
4.73438e-05	1.8e-14	0
4.74219e-05	1.8	0
4.75e-05	1.8	0
4.75781e-05	1.8	0
4.76563e-05	1.8	0
4.77344e-05	1.8e-14	0
4.78125e-05	1.8e-14	0
4.78906e-05	1.8	0
4.79688e-05	1.8	0
4.80469e-05	1.8	0
4.8125e-05	1.8e-14	0
4.82031e-05	1.8	0
4.82813e-05	1.8	0
4.83594e-05	1.8e-14	0
4.84375e-05	1.8	0
4.85156e-05	1.8e-14	0
4.85938e-05	1.8	0
4.86719e-05	1.8	0
4.875e-05	1.8	0
4.88281e-05	1.8e-14	0
4.89063e-05	1.8	0
4.89844e-05	1.8e-14	0
4.90625e-05	1.8	0
4.91406e-05	1.8	0
4.92188e-05	1.8	0
4.92969e-05	1.8e-14	0
4.9375e-05	1.8	0
4.94531e-05	1.8	0
4.95313e-05	1.8e-14	0
4.96094e-05	1.8	0
4.96875e-05	1.8	0
4.97656e-05	1.8	0
4.98438e-05	1.8e-14	0
4.99219e-05	1.8	0
5e-05	1.8e-14	0
5.00781e-05	1.8	1.8
5.01563e-05	1.8	0
5.02344e-05	1.8e-14	0
5.03125e-05	1.8e-14	0
5.03906e-05	1.8	0
5.04688e-05	1.8	0
5.05469e-05	1.8	0
5.0625e-05	1.8	0
5.07031e-05	1.8	0
